Numero,Descripcion,TipoOrigen,Cant_Asientos,Total_Importe1
11101001,CAJA PESOS,0,5,35456862.1
11101001,CAJA PESOS,1,37,17792367.29
11101001,CAJA PESOS,2,216,275446219.44
11101001,CAJA PESOS,4,26,1703150.11
11101002,CAJA DOLARES,0,6,115941221.24
11101002,CAJA DOLARES,1,2,690300.0
11101002,CAJA DOLARES,2,26,488507236.53
11101002,CAJA DOLARES,4,2,2806080.0
11101003,FONDOS FIJOS ADMINISTRACION,0,3,462343.71
11101004,FONDOS FIJO SALTA,0,2,1959931.21
11101004,FONDOS FIJO SALTA,1,57,12487950.45
11101004,FONDOS FIJO SALTA,2,284,98254381.06
11101004,FONDOS FIJO SALTA,4,19,782557.76
11101004,FONDOS FIJO SALTA,11,2,196041497.91
11101008,CAJA DA,2,1,3500.0
11102001,BANCO CREDICOOP 40137/3,0,5,373544698.46
11102001,BANCO CREDICOOP 40137/3,1,4071,3379030821.04
11102001,BANCO CREDICOOP 40137/3,2,513,2128359327.83
11102001,BANCO CREDICOOP 40137/3,4,95,125685957.47
11102002,CH DIFERIDOS BANCO CREDICOOP 40137/3,0,3,38491364.26
11102002,CH DIFERIDOS BANCO CREDICOOP 40137/3,11,3,404085931.64
11102003,BANCO CREDICOOP 1945/5,0,3,129864.82
11102003,BANCO CREDICOOP 1945/5,1,1,353095.9
11102003,BANCO CREDICOOP 1945/5,2,9,961000.0
11102003,BANCO CREDICOOP 1945/5,4,4,152946.2
11102005,BANCO MACRO CTA CTE,1,98,58705865.74
11102005,BANCO MACRO CTA CTE,2,14,1836707363.44
11102005,BANCO MACRO CTA CTE,4,1,477540.56
11102007,BANCO MACRO CTA CTE USD,4,1,1770738.86
11102009,BANCO NACION,0,3,439118.58
11102009,BANCO NACION,1,22,893015.47
11102009,BANCO NACION,2,3,230027.5
11102009,BANCO NACION,4,1,59912.57
11102011,VALORES A DEPOSITAR,0,4,12903285.96
11102011,VALORES A DEPOSITAR,1,520,2622024228.42
11102011,VALORES A DEPOSITAR,2,18,481387152.5
11102011,VALORES A DEPOSITAR,4,2,17307548.27
11102013,BANCO VISA PATAGONIA,2,31,13692654.94
11102013,BANCO VISA,2,2,4912.78
11102013,BANCO VISA PATAGONIA,4,15,2906926.6
11102013,BANCO VISA,4,1,590279.36
11102013,BANCO VISA,11,1,92897.88
11102013,BANCO VISA PATAGONIA,11,2,1747806.21
11102016,BANCO PATAGONIA SALTA,0,3,62930432.27
11102016,BANCO PATAGONIA SALTA,1,877,10412133653.83
11102016,BANCO PATAGONIA SALTA,2,167,2127980401.88
11102016,BANCO PATAGONIA SALTA,4,17,54649015.21
11102020,BANCO AMEX GR,0,2,18456.9
11102020,BANCO AMEX GR,2,19,3284277.09
11102020,BANCO AMEX GR,4,2,18456.9
11102021,BANCO AMEX DA,2,10,328467.21
11102023,BANCO AMEX GC,0,2,1910792.5
11102023,BANCO AMEX GC,2,29,8580089.66
11102023,BANCO AMEX GC,4,8,600872.99
11102027,BANCO BBVA FRANCES,0,1,7544009.77
11102027,BANCO FRANCES,0,2,5200638.53
11102027,BANCO FRANCES,1,286,164610638.63
11102027,BANCO BBVA FRANCES,1,613,499747716.529999
11102027,BANCO BBVA FRANCES,2,39,510595709.55
11102027,BANCO FRANCES,2,21,73302945.28
11102027,BANCO FRANCES,4,8,375731.74
11102027,BANCO BBVA FRANCES,4,10,4332529.94
11102028,MERCADOPAGO,0,2,1494901.17
11102028,MERCADOPAGO,1,34,11930242.0
11102028,MERCADOPAGO,2,21,2050106.32
11102028,MERCADOPAGO,4,22,1900698.25
11102029,BANCO BBVA CTA USD,0,6,53604994.7
11102029,BANCO BBVA CTA USD,1,5,2766155.78
11102029,BANCO BBVA CTA USD,2,67,1381576924.22
11102029,BANCO BBVA CTA USD,4,8,35555271.48
11102030,BANCO VISA BBVA,2,79,102386316.65
11102030,BANCO VISA BBVA,4,49,11087439.84
11102030,BANCO VISA BBVA,11,2,10659388.06
11102031,BANCO VISA MACRO,2,1,1443542.31
11201001,PLAZO FIJO,2,2,10000000.0
11201002,INTERESES A DEVENGAR PLAZO FIJO,0,1,1631038.36
11201002,INTERESES A DEVENGAR PLAZO FIJO Y PROMOCIONES,0,2,20105.14
11201003,ACCIONES GARANTIZAR,0,3,6000.0
11201005,FONDOS COMUN DE INVERSION,0,4,95178354.84
